player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,8,6,15,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12,24,58,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,24,20,"1,386",15.4,6,5,11,6,0,1,9,0,5.0,4.3,3.7,8.0,49,47,131,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52,Matches
Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,26,16,"1,435",15.9,5,3,8,5,0,0,2,2,5.0,5.0,1.7,6.7,46,49,137,0.31,0.19,0.50,0.31,0.50,0.31,0.11,0.42,0.31,0.42,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.22,0.07,0.22,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,17,17,"1,398",15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,17,15,"1,211",13.5,6,1,7,6,0,0,5,0,4.6,4.6,1.7,6.4,5,31,85,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,28,21,"1,950",21.7,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,85,23,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0.0,1.5,2,8,17,0.27,0.00,0.27,0.27,0.27,0.39,0.01,0.40,0.39,0.40,Matches
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,15,0,182,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,16,24,0.00,0.49,0.49,0.00,0.49,0.05,0.24,0.28,0.05,0.28,Matches
Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches
Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,25,9,977,10.9,4,1,5,3,1,1,6,0,1.9,1.1,1.1,2.2,30,55,30,0.37,0.09,0.46,0.28,0.37,0.17,0.10,0.27,0.10,0.20,Matches
Robert Andrich,de GER,MF,Leverkusen,27,1994,29,28,"2,406",26.7,2,2,4,2,0,0,7,0,1.6,1.6,1.2,2.8,12,99,8,0.07,0.07,0.15,0.07,0.15,0.06,0.04,0.11,0.06,0.11,Matches
Angeliño,es ESP,DF,Hoffenheim,25,1997,33,30,"2,617",29.1,0,8,8,0,0,0,2,0,1.1,1.1,7.2,8.3,24,108,120,0.00,0.28,0.28,0.00,0.28,0.04,0.25,0.28,0.04,0.28,Matches
Waldemar Anton,de GER,DF,Stuttgart,26,1996,34,34,"2,934",32.6,1,2,3,1,0,0,4,0,1.6,1.6,1.4,3.0,56,135,52,0.03,0.06,0.09,0.03,0.09,0.05,0.04,0.09,0.05,0.09,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,29,22,"1,981",22.0,3,6,9,3,0,0,2,0,2.2,2.2,3.8,6.0,67,36,231,0.14,0.27,0.41,0.14,0.41,0.10,0.17,0.27,0.10,0.27,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,10,4,493,5.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,3,32,7,0.18,0.00,0.18,0.18,0.18,0.06,0.04,0.10,0.06,0.10,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,32,32,"2,767",30.7,5,3,8,2,3,5,5,0,5.0,1.0,4.9,5.9,29,150,19,0.16,0.10,0.26,0.07,0.16,0.16,0.16,0.32,0.03,0.19,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,27,1994,25,21,"1,713",19.0,3,3,6,3,0,0,1,0,5.6,5.6,2.1,7.7,32,34,119,0.16,0.16,0.32,0.16,0.32,0.29,0.11,0.41,0.29,0.41,Matches
Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,8,0,167,1.9,0,0,0,0,0,0,0,0,1.7,1.7,0.2,1.8,4,1,19,0.00,0.00,0.00,0.00,0.00,0.88,0.10,0.98,0.88,0.98,Matches
Mehmet Aydin,de GER,"DF,FW",Schalke 04,20,2002,16,3,567,6.3,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,9,15,21,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches
Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,23,8,927,10.3,4,1,5,4,0,0,1,0,3.5,3.5,2.5,6.0,11,32,45,0.39,0.10,0.49,0.39,0.49,0.34,0.24,0.58,0.34,0.58,Matches
